-64.66	-22.68
-64.45	-21.63
-64.35	-20.85
-64.35	-20.17
-64.62	-19.36
-65	-18.74
-65.41	-18.21
-65.71	-17.62
-66.36	-16.94
-66.98	-16.6
-67.46	-16.13
-68.04	-15.67
-68.66	-15.3
-68.86	-14.71
-69.37	-14.21
-70.09	-13.96
-70.81	-13.65
-71.36	-13.37
-72.08	-13.16
-72.8	-13.03
-73.24	-13.04
-73.82	-12.97
-74.1	-12.73
-74.3	-12.38
-74.68	-11.86
-74.88	-11.55
-75.19	-11.21
-75.57	-10.83
-75.84	-10.37
-76.28	-10.00	
-75.67	-10.00
-75.05	-10.4
-74.5	-10.65
-74.02	-10.86
-73.68	-11.17
-73.55	-11.73
-72.55	-12.07
-71.9	-12.16
-71.36	-12.69
-70.74	-13.03
-70.02	-13.25
-69.17	-13.68
-68.21	-14.05
-67.8	-14.46
-67.22	-15.11
-66.81	-15.51
-66.46	-16.04
-65.99	-16.32
-65.54	-16.85
-64.86	-17.12
-64.27	-17.31
-63.59	-17.46
-63.45	-18.12
-63.25	-18.74
-63.11	-19.39
-63.05	-20.1
-63.29	-20.69
-63.43	-21.1
-63.56	-21.63
-63.67	-22.34
-63.91	-22.99
-64.59	-23.21
